,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 00:59:15.626000,LEC,16,,1.0,1.0,,,,0 days 00:00:29.783000,0 days 00:00:23.702000,,0 days 00:58:52.046000,0 days 00:59:15.690000,271.0,234.0,242.0,242.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:57:47.946000,2025-08-03 13:03:06.040,1,1.0,False,,False,False
1,0 days 01:00:38.455000,LEC,16,82.829,2.0,1.0,,,0 days 00:00:30.160000,0 days 00:00:29.384000,0 days 00:00:23.285000,0 days 00:59:45.786000,0 days 01:00:15.170000,0 days 01:00:38.455000,272.0,237.0,244.0,281.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:59:15.626000,2025-08-03 13:04:33.720,1,1.0,False,,False,True
2,0 days 01:02:00.950000,LEC,16,82.495,3.0,1.0,,,0 days 00:00:29.770000,0 days 00:00:29.427000,0 days 00:00:23.298000,0 days 01:01:08.225000,0 days 01:01:37.652000,0 days 01:02:00.950000,275.0,243.0,245.0,282.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:00:38.455000,2025-08-03 13:05:56.549,1,1.0,False,,False,True
3,0 days 01:03:23.228000,LEC,16,82.278,4.0,1.0,,,0 days 00:00:29.755000,0 days 00:00:29.340000,0 days 00:00:23.183000,0 days 01:02:30.705000,0 days 01:03:00.045000,0 days 01:03:23.228000,273.0,240.0,245.0,283.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:02:00.950000,2025-08-03 13:07:19.044,1,1.0,False,,False,True
4,0 days 01:04:45.546000,LEC,16,82.318,5.0,1.0,,,0 days 00:00:29.618000,0 days 00:00:29.300000,0 days 00:00:23.400000,0 days 01:03:52.846000,0 days 01:04:22.146000,0 days 01:04:45.546000,275.0,241.0,243.0,284.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:03:23.228000,2025-08-03 13:08:41.322,1,1.0,False,,False,True
5,0 days 01:06:07.903000,LEC,16,82.357,6.0,1.0,,,0 days 00:00:29.666000,0 days 00:00:29.403000,0 days 00:00:23.288000,0 days 01:05:15.212000,0 days 01:05:44.615000,0 days 01:06:07.903000,276.0,240.0,245.0,285.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:04:45.546000,2025-08-03 13:10:03.640,1,1.0,False,,False,True
6,0 days 01:07:29.949000,LEC,16,82.046,7.0,1.0,,,0 days 00:00:29.640000,0 days 00:00:29.277000,0 days 00:00:23.129000,0 days 01:06:37.543000,0 days 01:07:06.820000,0 days 01:07:29.949000,,242.0,245.0,286.0,True,MEDIUM,7.0,True,Ferrari,0 days 01:06:07.903000,2025-08-03 13:11:25.997,1,1.0,False,,False,True
7,0 days 01:08:51.689000,LEC,16,81.74,8.0,1.0,,,0 days 00:00:29.561000,0 days 00:00:29.076000,0 days 00:00:23.103000,0 days 01:07:59.510000,0 days 01:08:28.586000,0 days 01:08:51.689000,277.0,242.0,245.0,285.0,True,MEDIUM,8.0,True,Ferrari,0 days 01:07:29.949000,2025-08-03 13:12:48.043,1,1.0,False,,False,True
8,0 days 01:10:13.511000,LEC,16,81.822,9.0,1.0,,,0 days 00:00:29.647000,0 days 00:00:29.130000,0 days 00:00:23.045000,0 days 01:09:21.336000,0 days 01:09:50.466000,0 days 01:10:13.511000,269.0,244.0,246.0,281.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:08:51.689000,2025-08-03 13:14:09.783,1,1.0,False,,False,True
9,0 days 01:11:35.455000,LEC,16,81.944,10.0,1.0,,,0 days 00:00:29.741000,0 days 00:00:29.201000,0 days 00:00:23.002000,0 days 01:10:43.252000,0 days 01:11:12.453000,0 days 01:11:35.455000,,244.0,245.0,280.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:10:13.511000,2025-08-03 13:15:31.605,1,1.0,False,,False,True
