,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 00:56:41.873000,RUS,63,,1.0,1.0,,,,0 days 00:00:42.718000,0 days 00:00:29.061000,,0 days 00:56:13.007000,0 days 00:56:42.036000,281.0,258.0,239.0,185.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:54:57.735000,2025-10-05 12:03:32.198,1,1.0,False,,False,False
1,0 days 00:58:21.022000,RUS,63,99.149,2.0,1.0,,,0 days 00:00:29.263000,0 days 00:00:41.666000,0 days 00:00:28.220000,0 days 00:57:11.136000,0 days 00:57:52.802000,0 days 00:58:21.022000,283.0,259.0,244.0,279.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:56:41.873000,2025-10-05 12:05:16.336,1,1.0,False,,False,True
2,0 days 00:59:59.057000,RUS,63,98.035,3.0,1.0,,,0 days 00:00:28.980000,0 days 00:00:41.190000,0 days 00:00:27.865000,0 days 00:58:50.002000,0 days 00:59:31.192000,0 days 00:59:59.057000,284.0,259.0,246.0,278.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:21.022000,2025-10-05 12:06:55.485,1,1.0,False,,False,True
3,0 days 01:01:36.627000,RUS,63,97.57,4.0,1.0,,,0 days 00:00:28.833000,0 days 00:00:41.147000,0 days 00:00:27.590000,0 days 01:00:27.890000,0 days 01:01:09.037000,0 days 01:01:36.627000,285.0,259.0,248.0,,True,MEDIUM,4.0,True,Mercedes,0 days 00:59:59.057000,2025-10-05 12:08:33.520,1,1.0,False,,False,True
4,0 days 01:03:13.811000,RUS,63,97.184,5.0,1.0,,,0 days 00:00:28.639000,0 days 00:00:40.996000,0 days 00:00:27.549000,0 days 01:02:05.266000,0 days 01:02:46.262000,0 days 01:03:13.811000,284.0,259.0,248.0,281.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:01:36.627000,2025-10-05 12:10:11.090,1,1.0,False,,False,True
5,0 days 01:04:50.665000,RUS,63,96.854,6.0,1.0,,,0 days 00:00:28.614000,0 days 00:00:40.866000,0 days 00:00:27.374000,0 days 01:03:42.425000,0 days 01:04:23.291000,0 days 01:04:50.665000,286.0,260.0,249.0,280.0,True,MEDIUM,6.0,True,Mercedes,0 days 01:03:13.811000,2025-10-05 12:11:48.274,1,1.0,False,,False,True
6,0 days 01:06:27.433000,RUS,63,96.768,7.0,1.0,,,0 days 00:00:28.599000,0 days 00:00:40.750000,0 days 00:00:27.419000,0 days 01:05:19.264000,0 days 01:06:00.014000,0 days 01:06:27.433000,287.0,260.0,249.0,281.0,True,MEDIUM,7.0,True,Mercedes,0 days 01:04:50.665000,2025-10-05 12:13:25.128,12,1.0,False,,False,True
7,0 days 01:08:04.088000,RUS,63,96.655,8.0,1.0,,,0 days 00:00:28.581000,0 days 00:00:40.764000,0 days 00:00:27.310000,0 days 01:06:56.014000,0 days 01:07:36.778000,0 days 01:08:04.088000,286.0,259.0,249.0,282.0,True,MEDIUM,8.0,True,Mercedes,0 days 01:06:27.433000,2025-10-05 12:15:01.896,1,1.0,False,,False,True
8,0 days 01:09:40.814000,RUS,63,96.726,9.0,1.0,,,0 days 00:00:28.598000,0 days 00:00:40.836000,0 days 00:00:27.292000,0 days 01:08:32.686000,0 days 01:09:13.522000,0 days 01:09:40.814000,,260.0,251.0,281.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:08:04.088000,2025-10-05 12:16:38.551,1,1.0,False,,False,True
9,0 days 01:11:17.479000,RUS,63,96.665,10.0,1.0,,,0 days 00:00:28.559000,0 days 00:00:40.825000,0 days 00:00:27.281000,0 days 01:10:09.373000,0 days 01:10:50.198000,0 days 01:11:17.479000,,260.0,250.0,283.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:09:40.814000,2025-10-05 12:18:15.277,1,1.0,False,,False,True
10,0 days 01:12:54.191000,RUS,63,96.712,11.0,1.0,,,0 days 00:00:28.588000,0 days 00:00:40.885000,0 days 00:00:27.239000,0 days 01:11:46.067000,0 days 01:12:26.952000,0 days 01:12:54.191000,287.0,260.0,250.0,,False,MEDIUM,11.0,True,Mercedes,0 days 01:11:17.479000,2025-10-05 12:19:51.942,1,1.0,False,,False,True
11,0 days 01:14:30.676000,RUS,63,96.485,12.0,1.0,,,0 days 00:00:28.558000,0 days 00:00:40.696000,0 days 00:00:27.231000,0 days 01:13:22.749000,0 days 01:14:03.445000,0 days 01:14:30.676000,288.0,261.0,250.0,282.0,True,MEDIUM,12.0,True,Mercedes,0 days 01:12:54.191000,2025-10-05 12:21:28.654,1,1.0,False,,False,True
12,0 days 01:16:07.306000,RUS,63,96.63,13.0,1.0,,,0 days 00:00:28.650000,0 days 00:00:40.759000,0 days 00:00:27.221000,0 days 01:14:59.326000,0 days 01:15:40.085000,0 days 01:16:07.306000,287.0,260.0,249.0,283.0,False,MEDIUM,13.0,True,Mercedes,0 days 01:14:30.676000,2025-10-05 12:23:05.139,1,1.0,False,,False,True
