,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
57,0 days 00:57:16.521000,LEC,16,,1.0,1.0,,,,0 days 00:00:43.164000,0 days 00:00:24.036000,,0 days 00:56:52.670000,0 days 00:57:16.671000,233.0,250.0,280.0,256.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:55:34.907000,2025-04-13 15:03:49.174,1,4.0,False,,False,False
58,0 days 00:58:54.569000,LEC,16,98.048,2.0,1.0,,,0 days 00:00:31.404000,0 days 00:00:42.615000,0 days 00:00:24.029000,0 days 00:57:47.909000,0 days 00:58:30.524000,0 days 00:58:54.553000,223.0,250.0,282.0,289.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:57:16.521000,2025-04-13 15:05:30.788,1,4.0,False,,False,True
59,0 days 01:00:33.032000,LEC,16,98.463,3.0,1.0,,,0 days 00:00:31.396000,0 days 00:00:42.837000,0 days 00:00:24.230000,0 days 00:59:25.949000,0 days 01:00:08.786000,0 days 01:00:33.016000,,257.0,283.0,300.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:58:54.569000,2025-04-13 15:07:08.836,1,4.0,False,,False,True
60,0 days 01:02:11.305000,LEC,16,98.273,4.0,1.0,,,0 days 00:00:31.373000,0 days 00:00:42.588000,0 days 00:00:24.312000,0 days 01:01:04.389000,0 days 01:01:46.977000,0 days 01:02:11.289000,,256.0,281.0,297.0,False,MEDIUM,4.0,True,Ferrari,0 days 01:00:33.032000,2025-04-13 15:08:47.299,1,4.0,False,,False,True
61,0 days 01:03:49.732000,LEC,16,98.427,5.0,1.0,,,0 days 00:00:31.449000,0 days 00:00:42.592000,0 days 00:00:24.386000,0 days 01:02:42.738000,0 days 01:03:25.330000,0 days 01:03:49.716000,225.0,261.0,285.0,302.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:02:11.305000,2025-04-13 15:10:25.572,1,4.0,False,,False,True
62,0 days 01:05:28.516000,LEC,16,98.784,6.0,1.0,,,0 days 00:00:31.149000,0 days 00:00:43.411000,0 days 00:00:24.224000,0 days 01:04:20.865000,0 days 01:05:04.276000,0 days 01:05:28.500000,,250.0,280.0,309.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:03:49.732000,2025-04-13 15:12:03.999,1,4.0,False,,False,True
63,0 days 01:07:07.196000,LEC,16,98.68,7.0,1.0,,,0 days 00:00:31.431000,0 days 00:00:42.843000,0 days 00:00:24.406000,0 days 01:05:59.931000,0 days 01:06:42.774000,0 days 01:07:07.180000,,250.0,280.0,296.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:05:28.516000,2025-04-13 15:13:42.783,1,4.0,False,,False,True
64,0 days 01:08:46.329000,LEC,16,99.133,8.0,1.0,,,0 days 00:00:31.654000,0 days 00:00:43.109000,0 days 00:00:24.370000,0 days 01:07:38.834000,0 days 01:08:21.943000,0 days 01:08:46.313000,223.0,251.0,281.0,,False,MEDIUM,8.0,True,Ferrari,0 days 01:07:07.196000,2025-04-13 15:15:21.463,1,4.0,False,,False,True
65,0 days 01:10:25.493000,LEC,16,99.164,9.0,1.0,,,0 days 00:00:31.658000,0 days 00:00:43.171000,0 days 00:00:24.335000,0 days 01:09:17.971000,0 days 01:10:01.142000,0 days 01:10:25.477000,225.0,250.0,280.0,303.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:08:46.329000,2025-04-13 15:17:00.596,1,4.0,False,,False,True
66,0 days 01:12:04.374000,LEC,16,98.881,10.0,1.0,,,0 days 00:00:31.447000,0 days 00:00:43.104000,0 days 00:00:24.330000,0 days 01:10:56.924000,0 days 01:11:40.028000,0 days 01:12:04.358000,224.0,250.0,280.0,304.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:10:25.493000,2025-04-13 15:18:39.760,1,3.0,False,,False,True
