,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 00:59:22.444000,VER,1,,1.0,1.0,,,,0 days 00:00:24.494000,0 days 00:00:30.987000,,0 days 00:58:51.566000,0 days 00:59:22.597000,249.0,274.0,277.0,309.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:57:59.581000,2025-06-15 18:03:04.636,1,2.0,False,,False,False
1,0 days 01:00:38.862000,VER,1,76.418,2.0,1.0,,,0 days 00:00:21.742000,0 days 00:00:24.204000,0 days 00:00:30.472000,0 days 00:59:44.195000,0 days 01:00:08.399000,0 days 01:00:38.871000,242.0,275.0,288.0,329.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:59:22.444000,2025-06-15 18:04:27.499,1,2.0,False,,False,True
2,0 days 01:01:54.956000,VER,1,76.094,3.0,1.0,,,0 days 00:00:21.507000,0 days 00:00:24.075000,0 days 00:00:30.512000,0 days 01:01:00.378000,0 days 01:01:24.453000,0 days 01:01:54.965000,245.0,279.0,289.0,329.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:00:38.862000,2025-06-15 18:05:43.917,1,2.0,False,,False,True
3,0 days 01:03:10.881000,VER,1,75.925,4.0,1.0,,,0 days 00:00:21.552000,0 days 00:00:24.012000,0 days 00:00:30.361000,0 days 01:02:16.517000,0 days 01:02:40.529000,0 days 01:03:10.890000,241.0,278.0,288.0,327.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 01:01:54.956000,2025-06-15 18:07:00.011,1,2.0,False,,False,True
4,0 days 01:04:26.782000,VER,1,75.901,5.0,1.0,,,0 days 00:00:21.429000,0 days 00:00:24.059000,0 days 00:00:30.413000,0 days 01:03:32.319000,0 days 01:03:56.378000,0 days 01:04:26.791000,250.0,281.0,289.0,328.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:03:10.881000,2025-06-15 18:08:15.936,1,2.0,False,,False,True
5,0 days 01:05:43.313000,VER,1,76.531,6.0,1.0,,,0 days 00:00:21.599000,0 days 00:00:24.128000,0 days 00:00:30.804000,0 days 01:04:48.390000,0 days 01:05:12.518000,0 days 01:05:43.322000,242.0,276.0,280.0,311.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:04:26.782000,2025-06-15 18:09:31.837,1,2.0,False,,False,True
6,0 days 01:06:59.913000,VER,1,76.6,7.0,1.0,,,0 days 00:00:21.560000,0 days 00:00:24.243000,0 days 00:00:30.797000,0 days 01:06:04.882000,0 days 01:06:29.125000,0 days 01:06:59.922000,249.0,281.0,280.0,311.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:05:43.313000,2025-06-15 18:10:48.368,1,2.0,False,,False,True
7,0 days 01:08:16.553000,VER,1,76.64,8.0,1.0,,,0 days 00:00:21.402000,0 days 00:00:24.412000,0 days 00:00:30.826000,0 days 01:07:21.324000,0 days 01:07:45.736000,0 days 01:08:16.562000,247.0,280.0,280.0,310.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:06:59.913000,2025-06-15 18:12:04.968,1,2.0,False,,False,True
8,0 days 01:09:33.315000,VER,1,76.762,9.0,1.0,,,0 days 00:00:21.484000,0 days 00:00:24.360000,0 days 00:00:30.918000,0 days 01:08:38.046000,0 days 01:09:02.406000,0 days 01:09:33.324000,250.0,280.0,279.0,310.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:08:16.553000,2025-06-15 18:13:21.608,1,2.0,False,,False,True
9,0 days 01:10:49.995000,VER,1,76.68,10.0,1.0,,,0 days 00:00:21.536000,0 days 00:00:24.280000,0 days 00:00:30.864000,0 days 01:09:54.860000,0 days 01:10:19.140000,0 days 01:10:50.004000,249.0,279.0,279.0,310.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:09:33.315000,2025-06-15 18:14:38.370,1,2.0,False,,False,True
10,0 days 01:12:06.986000,VER,1,76.991,11.0,1.0,,,0 days 00:00:21.570000,0 days 00:00:24.389000,0 days 00:00:31.032000,0 days 01:11:11.574000,0 days 01:11:35.963000,0 days 01:12:06.995000,248.0,277.0,278.0,309.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:10:49.995000,2025-06-15 18:15:55.050,1,2.0,False,,False,True
11,0 days 01:13:40.096000,VER,1,93.11,12.0,1.0,,0 days 01:13:18.038000,0 days 00:00:21.612000,0 days 00:00:24.387000,0 days 00:00:47.111000,0 days 01:12:28.607000,0 days 01:12:52.994000,0 days 01:13:40.105000,,280.0,,308.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:12:06.986000,2025-06-15 18:17:12.041,1,9.0,False,,False,False
12,0 days 01:14:59.144000,VER,1,79.048,13.0,2.0,0 days 01:13:41.716000,,0 days 00:00:23.971000,0 days 00:00:24.402000,0 days 00:00:30.675000,0 days 01:14:04.076000,0 days 01:14:28.478000,0 days 01:14:59.153000,248.0,280.0,279.0,308.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:13:40.096000,2025-06-15 18:18:45.151,1,9.0,False,,False,False
13,0 days 01:16:15.087000,VER,1,75.943,14.0,2.0,,,0 days 00:00:21.294000,0 days 00:00:24.047000,0 days 00:00:30.602000,0 days 01:15:20.447000,0 days 01:15:44.494000,0 days 01:16:15.096000,250.0,281.0,281.0,313.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:14:59.144000,2025-06-15 18:20:04.199,1,8.0,False,,False,True
14,0 days 01:17:31.439000,VER,1,76.352,15.0,2.0,,,0 days 00:00:21.566000,0 days 00:00:24.401000,0 days 00:00:30.385000,0 days 01:16:36.662000,0 days 01:17:01.063000,0 days 01:17:31.448000,251.0,280.0,289.0,334.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:16:15.087000,2025-06-15 18:21:20.142,1,5.0,False,,False,True
15,0 days 01:18:47.443000,VER,1,76.004,16.0,2.0,,,0 days 00:00:21.199000,0 days 00:00:24.140000,0 days 00:00:30.665000,0 days 01:17:52.647000,0 days 01:18:16.787000,0 days 01:18:47.452000,250.0,281.0,280.0,310.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:17:31.439000,2025-06-15 18:22:36.494,1,4.0,False,,False,True
16,0 days 01:20:03.346000,VER,1,75.903,17.0,2.0,,,0 days 00:00:21.216000,0 days 00:00:23.970000,0 days 00:00:30.717000,0 days 01:19:08.668000,0 days 01:19:32.638000,0 days 01:20:03.355000,251.0,281.0,281.0,311.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:18:47.443000,2025-06-15 18:23:52.498,1,4.0,False,,False,True
17,0 days 01:21:19.351000,VER,1,76.005,18.0,2.0,,,0 days 00:00:21.261000,0 days 00:00:24.079000,0 days 00:00:30.665000,0 days 01:20:24.616000,0 days 01:20:48.695000,0 days 01:21:19.360000,243.0,280.0,281.0,309.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:20:03.346000,2025-06-15 18:25:08.401,1,4.0,False,,False,True
18,0 days 01:22:35.138000,VER,1,75.787,19.0,2.0,,,0 days 00:00:21.224000,0 days 00:00:24.024000,0 days 00:00:30.539000,0 days 01:21:40.584000,0 days 01:22:04.608000,0 days 01:22:35.147000,244.0,282.0,281.0,310.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:21:19.351000,2025-06-15 18:26:24.406,1,4.0,False,,False,True
19,0 days 01:23:50.907000,VER,1,75.769,20.0,2.0,,,0 days 00:00:21.151000,0 days 00:00:24.024000,0 days 00:00:30.594000,0 days 01:22:56.298000,0 days 01:23:20.322000,0 days 01:23:50.916000,245.0,282.0,281.0,311.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:22:35.138000,2025-06-15 18:27:40.193,1,4.0,False,,False,True
20,0 days 01:25:06.622000,VER,1,75.715,21.0,2.0,,,0 days 00:00:21.054000,0 days 00:00:24.102000,0 days 00:00:30.559000,0 days 01:24:11.970000,0 days 01:24:36.072000,0 days 01:25:06.631000,240.0,283.0,282.0,309.0,True,HARD,9.0,True,Red Bull Racing,0 days 01:23:50.907000,2025-06-15 18:28:55.962,1,4.0,False,,False,True
21,0 days 01:26:22.338000,VER,1,75.716,22.0,2.0,,,0 days 00:00:21.196000,0 days 00:00:24.001000,0 days 00:00:30.519000,0 days 01:25:27.827000,0 days 01:25:51.828000,0 days 01:26:22.347000,246.0,283.0,283.0,310.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:25:06.622000,2025-06-15 18:30:11.677,1,4.0,False,,False,True
22,0 days 01:27:38.162000,VER,1,75.824,23.0,2.0,,,0 days 00:00:21.103000,0 days 00:00:24.028000,0 days 00:00:30.693000,0 days 01:26:43.450000,0 days 01:27:07.478000,0 days 01:27:38.171000,244.0,284.0,282.0,311.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:26:22.338000,2025-06-15 18:31:27.393,1,4.0,False,,False,True
23,0 days 01:28:53.936000,VER,1,75.774,24.0,2.0,,,0 days 00:00:21.164000,0 days 00:00:24.035000,0 days 00:00:30.575000,0 days 01:27:59.335000,0 days 01:28:23.370000,0 days 01:28:53.945000,250.0,283.0,282.0,310.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:27:38.162000,2025-06-15 18:32:43.217,1,4.0,False,,False,True
24,0 days 01:30:09.674000,VER,1,75.738,25.0,2.0,,,0 days 00:00:21.113000,0 days 00:00:24.047000,0 days 00:00:30.578000,0 days 01:29:15.058000,0 days 01:29:39.105000,0 days 01:30:09.683000,249.0,284.0,284.0,313.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:28:53.936000,2025-06-15 18:33:58.991,1,4.0,False,,False,True
25,0 days 01:31:25.389000,VER,1,75.715,26.0,2.0,,,0 days 00:00:21.119000,0 days 00:00:23.950000,0 days 00:00:30.646000,0 days 01:30:30.802000,0 days 01:30:54.752000,0 days 01:31:25.398000,254.0,283.0,284.0,314.0,False,HARD,14.0,True,Red Bull Racing,0 days 01:30:09.674000,2025-06-15 18:35:14.729,1,4.0,False,,False,True
26,0 days 01:32:40.853000,VER,1,75.464,27.0,2.0,,,0 days 00:00:21.164000,0 days 00:00:23.899000,0 days 00:00:30.401000,0 days 01:31:46.562000,0 days 01:32:10.461000,0 days 01:32:40.862000,255.0,284.0,293.0,331.0,True,HARD,15.0,True,Red Bull Racing,0 days 01:31:25.389000,2025-06-15 18:36:30.444,1,4.0,False,,False,True
27,0 days 01:33:57.021000,VER,1,76.168,28.0,2.0,,,0 days 00:00:21.636000,0 days 00:00:24.173000,0 days 00:00:30.359000,0 days 01:33:02.498000,0 days 01:33:26.671000,0 days 01:33:57.030000,251.0,285.0,291.0,332.0,False,HARD,16.0,True,Red Bull Racing,0 days 01:32:40.853000,2025-06-15 18:37:45.908,1,3.0,False,,False,True
