,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 01:00:37.363000,VER,1,,1.0,1.0,,,,0 days 00:00:32.318000,0 days 00:00:24.013000,,0 days 01:00:13.505000,0 days 01:00:37.646000,263.0,261.0,280.0,280.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:59:13.393000,2025-06-01 13:03:17.591,1,2.0,False,,False,False
1,0 days 01:01:57.446000,VER,1,80.083,2.0,1.0,,,0 days 00:00:24.125000,0 days 00:00:32.278000,0 days 00:00:23.680000,0 days 01:01:01.484000,0 days 01:01:33.762000,0 days 01:01:57.442000,257.0,269.0,286.0,303.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:00:37.363000,2025-06-01 13:04:41.561,1,2.0,False,,False,True
2,0 days 01:03:17.983000,VER,1,80.537,3.0,1.0,,,0 days 00:00:23.816000,0 days 00:00:32.561000,0 days 00:00:24.160000,0 days 01:02:21.258000,0 days 01:02:53.819000,0 days 01:03:17.979000,248.0,262.0,280.0,328.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:01:57.446000,2025-06-01 13:06:01.644,1,2.0,False,,False,True
3,0 days 01:04:39.015000,VER,1,81.032,4.0,1.0,,,0 days 00:00:24.299000,0 days 00:00:32.612000,0 days 00:00:24.121000,0 days 01:03:42.278000,0 days 01:04:14.890000,0 days 01:04:39.011000,246.0,254.0,280.0,302.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:03:17.983000,2025-06-01 13:07:22.181,1,2.0,False,,False,True
4,0 days 01:05:59.979000,VER,1,80.964,5.0,1.0,,,0 days 00:00:24.223000,0 days 00:00:32.561000,0 days 00:00:24.180000,0 days 01:05:03.234000,0 days 01:05:35.795000,0 days 01:05:59.975000,262.0,265.0,281.0,,False,SOFT,8.0,False,Red Bull Racing,0 days 01:04:39.015000,2025-06-01 13:08:43.213,1,2.0,False,,False,True
5,0 days 01:07:20.801000,VER,1,80.822,6.0,1.0,,,0 days 00:00:23.966000,0 days 00:00:32.687000,0 days 00:00:24.169000,0 days 01:06:23.941000,0 days 01:06:56.628000,0 days 01:07:20.797000,,265.0,280.0,305.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:05:59.979000,2025-06-01 13:10:04.177,1,2.0,False,,False,True
6,0 days 01:08:41.561000,VER,1,80.76,7.0,1.0,,,0 days 00:00:23.968000,0 days 00:00:32.520000,0 days 00:00:24.272000,0 days 01:07:44.765000,0 days 01:08:17.285000,0 days 01:08:41.557000,268.0,264.0,280.0,306.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:07:20.801000,2025-06-01 13:11:24.999,1,2.0,False,,False,True
7,0 days 01:10:02.580000,VER,1,81.019,8.0,1.0,,,0 days 00:00:24.105000,0 days 00:00:32.719000,0 days 00:00:24.195000,0 days 01:09:05.662000,0 days 01:09:38.381000,0 days 01:10:02.576000,265.0,270.0,280.0,304.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:08:41.561000,2025-06-01 13:12:45.759,1,2.0,False,,False,True
8,0 days 01:11:23.748000,VER,1,81.168,9.0,1.0,,,0 days 00:00:24.033000,0 days 00:00:32.833000,0 days 00:00:24.302000,0 days 01:10:26.609000,0 days 01:10:59.442000,0 days 01:11:23.744000,263.0,270.0,279.0,307.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:10:02.580000,2025-06-01 13:14:06.778,1,2.0,False,,False,True
9,0 days 01:12:44.911000,VER,1,81.163,10.0,1.0,,,0 days 00:00:24.018000,0 days 00:00:32.814000,0 days 00:00:24.331000,0 days 01:11:47.762000,0 days 01:12:20.576000,0 days 01:12:44.907000,264.0,266.0,281.0,,False,SOFT,13.0,False,Red Bull Racing,0 days 01:11:23.748000,2025-06-01 13:15:27.946,1,2.0,False,,False,True
